year,gwb_code,gm_naam,recs,a_woning,a_hh,p_leegsw,g_wozbag,p_koopw,p_huurw,p_wcorpw,p_ov_hw,ste_mvs,bev_dich,a_inw
2022,GM0243,Harderwijk,Gemeente,21143,20891,4,319000,59,41,28,13,2,1255,48857
2022,GM0244,Hattem,Gemeente,5407,5136,5,349000,65,35,26,8,4,533,12307
2022,GM0246,Heerde,Gemeente,8173,7896,4,340000,69,31,24,7,4,242,18976
2022,GM0252,Heumen,Gemeente,7320,7329,2,351000,71,29,18,10,4,432,17175
2022,GM0262,Lochem,Gemeente,15305,15103,4,372000,71,29,18,10,4,160,34069
2022,GM0263,Maasdriel,Gemeente,10242,11005,3,349000,71,29,20,9,5,387,25504
2022,GM0267,Nijkerk,Gemeente,17753,18017,3,387000,70,30,23,7,3,639,44311
2022,GM0268,Nijmegen,Gemeente,83578,97402,3,308000,43,56,39,17,2,3392,179100
2022,GM0269,Oldebroek,Gemeente,9510,9387,3,325000,69,31,23,8,4,245,23930
2022,GM0273,Putten,Gemeente,10025,9900,4,412000,67,33,22,11,4,289,24598
2022,GM0274,Renkum,Gemeente,15063,14770,5,339000,63,37,21,16,4,682,31358
2022,GM0275,Rheden,Gemeente,21287,21178,4,280000,55,45,29,16,3,531,43435
2022,GM0277,Rozendaal,Gemeente,697,707,2,614000,90,10,7,4,4,63,1756
2022,GM0279,Scherpenzeel,Gemeente,4236,4193,3,347000,73,27,17,10,4,748,10317
2022,GM0281,Tiel,Gemeente,18435,19088,3,264000,57,43,34,9,3,1289,42277
2022,GM0285,Voorst,Gemeente,10863,10391,6,360000,67,33,23,10,4,203,24994
2022,GM0289,Wageningen,Gemeente,18355,22877,4,291000,42,58,40,18,2,1313,39939
2022,GM0293,Westervoort,Gemeente,6755,6745,1,262000,59,40,31,9,3,2131,14944
2022,GM0294,Winterswijk,Gemeente,13298,12995,4,253000,70,30,18,12,3,211,29185
2022,GM0296,Wijchen,Gemeente,18253,17927,2,317000,68,32,25,7,3,626,41344
2022,GM0297,Zaltbommel,Gemeente,11987,12343,3,322000,68,32,23,9,4,381,29957
2022,GM0299,Zevenaar,Gemeente,20562,20325,3,265000,64,36,28,8,3,482,44645
2022,GM0301,Zutphen,Gemeente,23028,22580,4,254000,56,44,31,14,2,1181,48330
2022,GM0302,Nunspeet,Gemeente,11304,11178,4,353000,65,34,23,11,4,219,28223
2022,GM0303,Dronten,Gemeente,18085,18292,4,284000,68,32,24,8,4,128,42865
2022,GM0307,Amersfoort,Gemeente,69962,70599,3,367000,58,42,29,13,2,2538,158590
2022,GM0308,Baarn,Gemeente,11766,11159,6,410000,61,39,25,13,2,764,24876
2022,GM0310,De Bilt,Gemeente,19814,19369,4,473000,61,39,27,12,3,657,43508
2022,GM0312,Bunnik,Gemeente,6569,6624,3,435000,74,25,15,10,4,422,15590
2022,GM0313,Bunschoten,Gemeente,8708,8623,3,374000,74,26,14,12,3,735,22325
2022,GM0317,Eemnes,Gemeente,4098,4045,3,444000,72,28,21,6,4,304,9450
2022,GM0321,Houten,Gemeente,20874,20666,2,418000,67,33,24,8,2,917,50323
2022,GM0327,Leusden,Gemeente,13345,13298,2,391000,71,29,20,9,3,525,30713
2022,GM0331,Lopik,Gemeente,5848,5736,4,383000,74,26,18,8,5,192,14512
2022,GM0335,Montfoort,Gemeente,5775,5703,3,370000,74,26,16,10,4,368,13818
2022,GM0339,Renswoude,Gemeente,2186,2191,3,402000,74,26,0,26,4,307,5651
2022,GM0340,Rhenen,Gemeente,8299,8359,3,358000,65,35,27,8,4,482,20265
2022,GM0342,Soest,Gemeente,21107,20856,3,386000,64,36,22,14,3,1019,47113
2022,GM0344,Utrecht,Gemeente,162451,183465,5,392000,44,55,31,24,1,3857,361699
2022,GM0345,Veenendaal,Gemeente,29089,28679,3,303000,59,41,31,9,2,3484,67671
2022,GM0351,Woudenberg,Gemeente,5401,5339,2,398000,72,28,20,8,4,380,13873
2022,GM0352,Wijk bij Duurstede,Gemeente,10328,10309,2,357000,70,30,23,7,3,503,23921
2022,GM0353,IJsselstein,Gemeente,14467,14310,3,346000,64,36,24,12,2,1591,33429
2022,GM0355,Zeist,Gemeente,29838,29860,5,440000,52,47,29,18,2,1361,65987
2022,GM0356,Nieuwegein,Gemeente,30088,30120,3,292000,58,42,30,12,2,2757,64554
2022,GM0358,Aalsmeer,Gemeente,13368,13712,4,427000,65,35,24,11,4,1615,32452
2022,GM0361,Alkmaar,Gemeente,52941,53187,3,287000,58,42,29,13,2,1004,110783
2022,GM0362,Amstelveen,Gemeente,42402,43961,6,470000,47,53,30,23,1,2246,92331
2022,GM0363,Amsterdam,Gemeente,458397,484574,7,433000,29,71,40,30,1,5336,882633
2022,GM0373,Bergen (NH.),Gemeente,15383,13983,10,478000,67,33,18,14,4,300,29723
2022,GM0375,Beverwijk,Gemeente,19628,19435,4,286000,55,45,36,9,1,2293,42084
