year,gwb_code,gm_naam,recs,a_woning,a_hh,p_leegsw,g_wozbag,p_koopw,p_huurw,p_wcorpw,p_ov_hw,ste_mvs,bev_dich,a_inw
2025,GM0310,De Bilt,Gemeente,20000,19550,5,608000,61,39,27,11,3,662,43792
2025,GM0312,Bunnik,Gemeente,6867,7023,3,550000,74,26,17,10,4,441,16279
2025,GM0313,Bunschoten,Gemeente,8985,8887,4,463000,73,27,14,12,3,746,22684
2025,GM0317,Eemnes,Gemeente,4375,4308,3,546000,72,28,22,6,3,320,9927
2025,GM0321,Houten,Gemeente,21551,21308,2,526000,67,33,24,9,2,928,50945
2025,GM0327,Leusden,Gemeente,13848,13987,2,484000,71,29,21,8,3,545,31911
2025,GM0331,Lopik,Gemeente,5954,5929,4,483000,75,25,17,8,5,196,14800
2025,GM0335,Montfoort,Gemeente,5825,5777,4,479000,74,26,16,10,4,366,13772
2025,GM0339,Renswoude,Gemeente,2236,2272,4,514000,74,26,0,26,4,314,5782
2025,GM0340,Rhenen,Gemeente,8426,8548,3,461000,65,35,27,8,4,485,20392
2025,GM0342,Soest,Gemeente,21532,21325,3,477000,64,36,22,14,3,1038,47999
2025,GM0344,Utrecht,Gemeente,168736,194040,4,490000,45,55,31,24,1,4018,376757
2025,GM0345,Veenendaal,Gemeente,30164,30114,2,394000,59,41,30,10,2,3622,70352
2025,GM0351,Woudenberg,Gemeente,5744,5751,3,505000,71,29,20,9,3,404,14760
2025,GM0352,Wijk bij Duurstede,Gemeente,10437,10445,2,456000,70,29,23,7,3,501,23831
2025,GM0353,IJsselstein,Gemeente,14585,14442,3,458000,64,36,24,12,2,1587,33339
2025,GM0355,Zeist,Gemeente,30260,30650,4,555000,53,47,29,18,2,1375,66671
2025,GM0356,Nieuwegein,Gemeente,31374,31311,4,386000,58,42,29,14,2,2852,66788
2025,GM0358,Aalsmeer,Gemeente,13731,14452,4,526000,64,36,24,11,4,1654,33250
2025,GM0361,Alkmaar,Gemeente,54739,54740,4,380000,59,41,28,14,2,1023,112896
2025,GM0362,Amstelveen,Gemeente,43578,45913,5,568000,48,52,29,23,1,2331,95822
2025,GM0363,Amsterdam,Gemeente,486769,516096,6,518000,31,69,39,30,1,4968,934526
2025,GM0373,Bergen (NH.),Gemeente,15550,14241,11,612000,68,32,18,14,4,300,29722
2025,GM0375,Beverwijk,Gemeente,20154,19964,4,356000,54,46,36,10,1,2345,43040
2025,GM0376,Blaricum,Gemeente,5379,5399,4,904000,70,30,21,9,3,1169,12947
2025,GM0377,Bloemendaal,Gemeente,10389,10035,5,919000,71,29,17,12,3,593,23592
2025,GM0383,Castricum,Gemeente,16672,16379,4,508000,75,25,16,9,3,738,36618
2025,GM0384,Diemen,Gemeente,16115,16881,5,460000,40,60,21,39,1,2781,33228
2025,GM0385,Edam-Volendam,Gemeente,16009,15636,3,428000,77,23,17,6,3,684,37140
2025,GM0388,Enkhuizen,Gemeente,8989,8863,4,332000,62,38,28,10,3,1488,18847
2025,GM0392,Haarlem,Gemeente,80430,81464,5,505000,53,47,29,18,1,5776,168743
2025,GM0394,Haarlemmermeer,Gemeente,68125,70473,4,499000,67,33,22,11,2,838,165255
2025,GM0396,Heemskerk,Gemeente,18025,17590,4,412000,60,40,32,8,2,1444,39380
2025,GM0397,Heemstede,Gemeente,12841,12281,5,680000,66,34,21,12,2,3013,27638
2025,GM0399,Heiloo,Gemeente,11293,11147,4,544000,74,26,16,10,3,1301,24341
2025,GM0400,Den Helder,Gemeente,28808,27635,5,261000,56,44,36,8,2,1256,56662
2025,GM0402,Hilversum,Gemeente,43894,44879,4,477000,54,45,29,16,1,2070,94393
2025,GM0405,Hoorn,Gemeente,34994,35013,3,365000,61,39,29,10,2,3732,76036
2025,GM0406,Huizen,Gemeente,19209,18794,3,477000,59,41,32,9,2,2606,41196
2025,GM0415,Landsmeer,Gemeente,4958,5046,3,593000,66,34,26,8,3,523,11745
2025,GM0417,Laren (NH.),Gemeente,5509,5163,8,920000,68,31,17,15,3,925,11474
2025,GM0420,Medemblik,Gemeente,19593,19929,3,409000,70,30,23,7,4,379,45934
2025,GM0431,Oostzaan,Gemeente,4171,4180,4,522000,67,33,28,5,3,842,9733
2025,GM0432,Opmeer,Gemeente,5296,5481,3,398000,74,26,4,22,4,301,12491
2025,GM0437,Ouder-Amstel,Gemeente,6362,6606,4,595000,56,44,31,13,3,607,14532
2025,GM0439,Purmerend,Gemeente,43479,43664,3,407000,60,40,32,8,2,1025,95912
2025,GM0441,Schagen,Gemeente,21822,21916,4,372000,70,30,21,9,4,288,48378
2025,GM0448,Texel,Gemeente,7144,6846,9,406000,65,35,22,13,4,85,13846
2025,GM0450,Uitgeest,Gemeente,5832,5754,3,462000,72,28,22,6,3,701,13427
2025,GM0451,Uithoorn,Gemeente,13801,14077,4,454000,60,40,31,10,3,1772,32115
2025,GM0453,Velsen,Gemeente,32231,32250,3,408000,57,43,36,8,2,1555,70026
2025,GM0473,Zandvoort,Gemeente,9882,8860,14,476000,54,45,30,15,2,542,17374
2025,GM0479,Zaanstad,Gemeente,72329,73883,4,389000,54,46,36,10,2,2208,162828
2025,GM0482,Alblasserdam,Gemeente,8493,8498,3,351000,62,38,33,5,2,2307,20242
2025,GM0484,Alphen aan den Rijn,Gemeente,51069,51011,3,397000,64,36,25,11,2,919,115773
2025,GM0489,Barendrecht,Gemeente,19676,19719,2,447000,70,30,21,9,2,2480,48550
2025,GM0498,Drechterland,Gemeente,8738,8715,3,423000,74,26,19,6,4,348,20476
2025,GM0502,Capelle aan den IJssel,Gemeente,31893,32486,3,362000,54,46,34,11,2,4852,68624
2025,GM0503,Delft,Gemeente,54594,63476,4,352000,37,62,42,21,1,4861,110173
2025,GM0505,Dordrecht,Gemeente,57537,57807,4,331000,58,42,28,14,1,1583,122796
2025,GM0512,Gorinchem,Gemeente,18237,17762,5,370000,50,50,37,13,2,2076,38842
2025,GM0513,Gouda,Gemeente,35205,35577,3,356000,56,44,29,15,1,4638,76514
2025,GM0518,'s-Gravenhage,Gemeente,274171,285140,7,383000,43,57,30,27,1,6901,568945
2025,GM0523,Hardinxveld-Giessendam,Gemeente,7744,7563,5,368000,66,34,28,7,3,1134,19123
2025,GM0531,Hendrik-Ido-Ambacht,Gemeente,12963,12893,3,443000,72,28,23,6,2,3226,32859
2025,GM0532,Stede Broec,Gemeente,9515,9538,2,371000,70,30,25,5,3,1537,22253
2025,GM0534,Hillegom,Gemeente,10329,10344,4,458000,68,32,23,9,2,1773,22786
2025,GM0537,Katwijk,Gemeente,27845,27551,3,462000,65,35,27,8,2,2704,67089
2025,GM0542,Krimpen aan den IJssel,Gemeente,12730,12667,3,386000,60,40,36,4,2,3882,29793
2025,GM0546,Leiden,Gemeente,65079,74251,4,409000,41,59,31,28,1,5978,130638
2025,GM0547,Leiderdorp,Gemeente,12698,12717,2,450000,65,35,24,11,1,2414,27751
2025,GM0553,Lisse,Gemeente,10637,10809,2,433000,64,36,27,9,2,1502,23582
2025,GM0556,Maassluis,Gemeente,16664,16262,5,345000,55,45,39,6,2,4315,36436
2025,GM0569,Nieuwkoop,Gemeente,11931,12319,3,489000,73,27,20,7,4,376,29521
2025,GM0575,Noordwijk,Gemeente,21279,21118,8,516000,64,36,21,15,3,787,45929
2025,GM0579,Oegstgeest,Gemeente,11286,11255,4,600000,73,27,16,11,2,3573,26058
2025,GM0589,Oudewater,Gemeente,4575,4490,5,441000,69,31,22,9,4,266,10355
2025,GM0590,Papendrecht,Gemeente,14553,14318,3,368000,66,34,28,6,2,3431,32299
2025,GM0597,Ridderkerk,Gemeente,21966,21483,4,346000,58,42,38,5,2,2045,47999
